"RK","PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"265","Joshua Dobbs",NE,"QB34","250","266","256.5","6.8"
"266","Jake Browning",CIN,"QB35","251","267","257.5","6.8"
"267","Josh Oliver",MIN,"TE42","215","238","225.0","9.6"
"268","Hunter Luepke",DAL,"RB78","222","254","237.7","13.1"
"269","Shedeur Sanders",CLE,"QB36","155","274","214.5","59.5"
"270","Luke Schoonmaker",DAL,"TE43","220","229","224.5","4.5"
"271","Savion Williams",GB,"WR114","214","236","225.0","11.0"
"272","David Sills V",ATL,"WR115","207","244","225.5","18.5"
"273","Nate Adkins",DEN,"TE44","214","238","226.0","12.0"
"274","Dare Ogunbowale",HOU,"RB79","232","259","248.0","11.6"
"275","Mitchell Evans",CAR,"TE45","226","228","227.0","1.0"
"276","Luke Musgrave",GB,"TE46","225","230","227.5","2.5"
"277","Jeremy Ruckert",NYJ,"TE47","223","234","228.5","5.5"
"278","Drew Sample",CIN,"TE48","227","234","230.5","3.5"
"279","Adam Trautman",DEN,"TE49","231","233","232.0","1.0"
"280","Anthony Gould",IND,"WR116","177","177","177.0","0.0"
"281","Zach Wilson",MIA,"QB37","253","268","258.0","7.1"
"282","Dameon Pierce",HOU,"RB80","226","258","242.0","16.0"
"283","Jaleel McLaughlin",DEN,"RB81","227","257","242.0","15.0"
"284","C.J. Ham",MIN,"RB82","238","278","258.7","16.4"
"285","Scotty Miller",PIT,"WR117","195","195","195.0","0.0"
"286","Joe Milton III",DAL,"QB38","254","273","260.3","9.0"
"287","Foster Moreau",NO,"TE50","246","250","248.0","2.0"
"288","Adam Prentice",DEN,"RB83","235","315","270.3","33.3"
"289","Kene Nwangwu",NYJ,"RB84","240","303","268.3","26.1"
"290","Kyle Williams",NE,"WR118","212","212","212.0","0.0"
"291","Braxton Berrios",HOU,"WR119","213","213","213.0","0.0"
"292","Malik Davis",DAL,"RB85","243","321","275.7","33.1"
"293","Jackson Hawes",BUF,"TE51","243","264","253.5","10.5"
"294","Malachi Corley",CLE,"WR120","217","217","217.0","0.0"
"295","Travis Homer",CHI,"RB86","244","320","276.0","32.2"
"296","Tylan Wallace",BAL,"WR121","218","218","218.0","0.0"
"297","British Brooks",HOU,"RB87","247","317","276.3","29.7"
"298","Charlie Kolar",BAL,"TE52","252","262","257.0","5.0"
"299","Dee Eskridge",MIA,"WR122","228","228","228.0","0.0"
"300","Mo Alie-Cox",IND,"TE53","229","229","229.0","0.0"
"301","Nyheim Hines",LAC,"RB88","230","230","230.0","0.0"
"302","Cam Akers",MIN,"RB89","231","231","231.0","0.0"
"303","Gage Larvadain",CLE,"WR123","232","232","232.0","0.0"
"304","Ben Skowronek",PIT,"WR124","233","233","233.0","0.0"
"305","Beaux Collins",NYG,"WR125","235","235","235.0","0.0"
"306","John FitzPatrick",GB,"TE54","239","239","239.0","0.0"
"307","Harrison Bryant",HOU,"TE55","241","241","241.0","0.0"
"308","Isaac Guerendo",SF,"RB90","241","241","241.0","0.0"
"309","Tyler Conklin",LAC,"TE56","242","313","277.5","35.5"
"310","Kylen Granson",PHI,"TE57","243","243","243.0","0.0"
"311","Will Dissly",LAC,"TE58","244","305","274.5","30.5"
"312","Ryan Miller",TB,"WR126","245","245","245.0","0.0"
"313","Pierre Strong Jr.",GB,"RB91","246","246","246.0","0.0"
"314","Cade Stover",HOU,"TE59","249","249","249.0","0.0"
"315","Derius Davis",LAC,"WR127","249","249","249.0","0.0"
