RK,PLAYER NAME,TEAM,POS,BEST,WORST,AVG.,STD.DEV,PROJ,POS_RK,ND,ADD
226,Alec Pierce,IND,WR92,153,229,206.1,24.9,#N/A,92,#N/A,Alec Pierce
227,Tyler Badie,DEN,RB68,224,266,244.5,13.3,0.16,68,#N/A,Tyler Badie
228,Chimere Dike,TEN,WR93,208,226,219.6,5.3,#N/A,93,#N/A,Chimere Dike
229,Brycen Tremayne,CAR,WR94,211,261,224.7,14.5,#N/A,94,#N/A,Brycen Tremayne
230,Kaleb Johnson,PIT,RB69,208,289,249.3,21.1,0.10,69,#N/A,Kaleb Johnson
231,A.J. Dillon,PHI,RB70,229,291,251.3,16.8,0.02,70,#N/A,A.J. Dillon
232,Greg Dortch,ARI,WR95,218,261,228.7,12.2,#N/A,95,#N/A,Greg Dortch
233,Jalin Hyatt,NYG,WR96,216,242,228.8,8.3,#N/A,96,#N/A,Jalin Hyatt
234,Pat Bryant,DEN,WR97,208,226,217.6,4.7,#N/A,97,#N/A,Pat Bryant
235,Jalen Milroe,SEA,QB33,160,238,186.2,29.6,2.44,33,#N/A,Jalen Milroe
236,Kyle Juszczyk,SF,RB71,223,257,241.2,10.5,#N/A,71,#N/A,Kyle Juszczyk
237,Ashton Dulin,IND,WR98,214,234,222.8,5.8,#N/A,98,#N/A,Ashton Dulin
238,Elijah Moore,BUF,WR99,213,241,227.4,8.2,#N/A,99,#N/A,Elijah Moore
239,Jahan Dotson,PHI,WR100,211,240,229.6,7.9,#N/A,100,#N/A,Jahan Dotson
240,Marcus Mariota,WAS,QB34,143,270,201.2,43.8,1.29,34,#N/A,Marcus Mariota
241,Tyler Huntley,BAL,QB35,153,211,177.6,26.9,1.08,35,#N/A,Tyler Huntley
242,Chuba Hubbard,CAR,RB72,227,310,250.4,22.6,#N/A,72,#N/A,Chuba Hubbard
243,Julius Chestnut,TEN,RB73,231,296,258.1,19.2,#N/A,73,#N/A,Julius Chestnut
244,Chris Brooks,GB,RB74,235,287,260.6,12.9,#N/A,74,#N/A,Chris Brooks
245,Michael Mayer,LV,TE36,152,229,189.4,24.6,2.97,36,#N/A,Michael Mayer
246,Jalen Coker,CAR,WR101,165,256,216.2,33.6,#N/A,101,#N/A,Jalen Coker
247,Gunnar Helm,TEN,TE37,185,235,218.2,16.3,2.70,37,#N/A,Gunnar Helm
248,Tre Harris,LAC,WR102,227,241,234.7,4.1,#N/A,102,#N/A,Tre Harris
249,Daniel Bellinger,NYG,TE38,205,231,220.7,8.7,2.53,38,#N/A,Daniel Bellinger
250,Roschon Johnson,CHI,RB75,233,272,254.4,11,#N/A,75,#N/A,Roschon Johnson
251,Zamir White,LV,RB76,232,321,262.1,23.7,#N/A,76,#N/A,Zamir White
252,Curtis Samuel,BUF,WR103,179,250,223.7,24.2,#N/A,103,#N/A,Curtis Samuel
253,Chris Moore,WAS,WR104,227,269,237.7,13,#N/A,104,#N/A,Chris Moore
254,Isaac Guerendo,SF,RB77,234,312,264.1,21.6,#N/A,77,#N/A,Isaac Guerendo
255,Tahj Brooks,CIN,RB78,233,316,265.6,21.6,#N/A,78,#N/A,Tahj Brooks
256,George Holani,SEA,RB79,238,320,266.2,23.3,#N/A,79,#N/A,George Holani
257,Austin Hooper,NE,TE39,202,227,220.2,9.3,2.31,39,#N/A,Austin Hooper
258,Devaughn Vele,NO,WR105,233,244,239,3.7,#N/A,105,#N/A,Devaughn Vele
259,Alec Ingold,MIA,RB80,239,300,260.5,16.5,#N/A,80,#N/A,Alec Ingold
260,Noah Fant,CIN,TE40,203,245,224.6,13.4,2.13,40,#N/A,Noah Fant
261,Marquez Valdes-Scantling,SF,WR106,236,247,242.2,4.5,#N/A,106,#N/A,Marquez Valdes-Scantling
262,Zay Jones,ARI,WR107,240,253,243.7,4.5,#N/A,107,#N/A,Zay Jones
263,Miles Sanders,DAL,RB81,228,328,270.3,26.3,#N/A,81,#N/A,Miles Sanders
264,Tyrone Tracy Jr.,NYG,RB82,185,324,266.1,37.3,#N/A,82,#N/A,Tyrone Tracy Jr.
265,Dylan Laube,LV,RB83,249,322,272.2,20.9,#N/A,83,#N/A,Dylan Laube
266,Ray-Ray McCloud III,ATL,WR108,215,248,235.4,11.8,#N/A,108,#N/A,Ray-Ray McCloud III
267,Albert Okwuegbunam Jr.,LV,TE41,197,271,236.8,23.7,2.01,41,#N/A,Albert Okwuegbunam Jr.
268,Noah Gray,KC,TE42,228,259,241.8,11.6,1.84,42,#N/A,Noah Gray
269,Tyler Conklin,LAC,TE43,227,255,243.4,9.7,1.77,43,#N/A,Tyler Conklin
