"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"42","Rico Dowdle","RB","CAR","15","3.6","2.9","10.8","4","32.4","33.9","10.6","5.4","28.1","15.3","15","11.4","9.9","BYE","12.4","8.3","","","13.6","204"
"47","Jameson Williams","WR","DET","15","6.6","18.8","6.3","5.7","2","18.6","0","BYE","16.6","23.9","19.7","0","26.9","17.3","26.4","12","","","13.4","200.8"
"48","Zay Flowers","WR","BAL","15","28.1","14.9","3.3","14.4","12.2","8.6","BYE","14.1","11.4","12.1","11.3","11.9","0.6","20.6","15.8","21.2","","","13.4","200.5"
"275","Davis Mills","QB","HOU","5","-","-","-","-","1.2","BYE","-","-","6.2","28.7","16.4","14.5","-","-","-","-","","","13.4","67"
"311","Tyreek Hill","WR","MIA","4","8","16.9","15.9","12.7","-","-","-","-","-","-","-","BYE","-","-","-","-","","","13.4","53.5"
"50","Tetairoa McMillan","WR","CAR","15","11.8","16","7.8","10.2","13.3","17.9","6.3","16.9","8.6","11","33","11.5","11.3","BYE","4.5","19.3","","","13.3","199.4"
"148","Tyler Shough","QB","NO","9","-","-","0","-","-","-","-","5.3","10.2","19","BYE","8.9","18.4","22.3","18.1","17.1","","","13.3","119.3"
"249","Shedeur Sanders","QB","CLE","6","-","-","-","-","-","-","-","-","BYE","-","2.5","11.3","10.6","34.5","6.5","13.2","","","13.1","78.4"
"52","Michael Pittman Jr.","WR","IND","15","20","8","19.3","15.1","14.9","4","20.8","23.5","20.5","3.9","BYE","13.7","2.3","16.9","5.6","7.2","","","13","195.7"
"53","Wan'Dale Robinson","WR","NYG","15","11.5","28.2","3.6","4.4","8.2","20.4","15.5","7.8","13.6","12.2","7.6","30.6","10.4","BYE","16.4","5.2","","","13","195.6"
"54","Kyle Pitts Sr.","TE","ATL","15","12.9","7.7","7.9","18","BYE","4.8","13.2","14.9","7.8","5.8","3.4","4.5","15.2","15","45.6","18.7","","","13","195.4"
"67","Geno Smith","QB","LV","14","18.5","6.2","26.1","12.8","7.9","9.7","2.8","BYE","27.3","5.4","13.9","14.2","13","9","-","15","","","13","181.8"
"55","Jaylen Waddle","WR","MIA","15","7","17.8","14.9","7.8","23","15.8","2.5","20.9","14.2","19.4","8.2","BYE","7","18.1","4.6","12.2","","","12.9","193.4"
"56","Kenneth Gainwell","RB","PIT","15","5.3","6.6","9.6","31.4","BYE","9.6","3.5","3.5","7.4","2.4","29.5","18.2","6.5","16.2","19.6","23.8","","","12.9","193.1"
"393","Philip Rivers","QB","IND","2","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","7.8","18.1","","","12.9","25.9"
"395","Jawhar Jordan","RB","HOU","2","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","13.8","12","","","12.9","25.8"
"58","DeVonta Smith","WR","PHI","15","4.6","9.3","20","4.9","19.4","8.9","33.3","14.4","BYE","16.9","1.8","14.9","9.8","7.7","7","16.2","","","12.6","189.1"
"59","Emeka Egbuka","WR","TB","15","23.6","12.9","14.5","20.1","31.3","4.4","9.8","6.5","BYE","23.5","9","6.2","8.2","3.5","10.4","5","","","12.6","188.9"
"76","Tua Tagovailoa","QB","MIA","14","7.3","19.6","13.8","15.7","22.7","9.6","1.6","24.2","9.5","12.8","6.8","BYE","5.7","9.1","17.2","-","","","12.6","175.7"
"60","DK Metcalf","WR","PIT","15","12.3","11","12.2","23.6","BYE","19.5","8","16.5","2.6","6.5","9.9","14.4","6.2","21.8","14.5","8.2","","","12.5","187.2"
"61","Breece Hall","RB","NYJ","15","16.5","5.8","9.2","16.1","17.5","5.9","7.2","32.9","BYE","19.5","8.4","13.9","15.6","4.3","5.7","8.3","","","12.5","186.8"
"78","Dallas Goedert","TE","PHI","14","11.4","-","10.3","19.7","10.9","26","4.8","17.8","BYE","8.3","4.4","4","4.7","15.8","25","12.2","","","12.5","175.3"
"114","Mac Jones","QB","SF","11","-","21.8","14.3","-","22.2","13.2","6.2","19","15.8","24.1","-0.3","-","0.2","BYE","-","-0.3","","","12.4","136"
"62","Jason Myers","K","SEA","15","8","9","17","14","5","10","10","BYE","9","15","15","13","19","14","24","2","","","12.3","184"
"79","Deebo Samuel Sr.","WR","WAS","14","22.6","17.4","4.9","20.1","23.6","5.4","-","4.2","9.4","12.9","20.7","BYE","11.1","6.7","7.3","6.5","","","12.3","172.8"
"63","RJ Harvey","RB","DEN","15","7.9","3.4","4.6","19.8","6","6.5","7.2","24.1","16.6","3.8","8","BYE","21.2","22","10.5","22.1","","","12.2","183.7"
"93","Ka'imi Fairbairn","K","HOU","13","14","9","4","10","18","BYE","8","14","18","-","-","12","9","8","18","16","","","12.2","158"
"107","Rome Odunze","WR","CHI","12","15.7","31.8","15.2","16.9","BYE","5.2","5.1","18.4","0","20.6","6.1","8.3","2.8","-","-","-","","","12.2","146.1"
"174","Christian Watson","WR","GB","9","-","-","-","-","BYE","-","-","12.5","7.8","6.5","20.6","9.9","18.3","24.9","5.9","3.7","","","12.2","110.1"
"68","Stefon Diggs","WR","NE","15","11.7","7.2","5.3","16.1","24.6","5.8","13.9","10.4","12.8","15.6","19.5","4","5.6","BYE","5.6","22.8","","","12.1","180.9"
"82","Quinshon Judkins","RB","CLE","14","-","10.1","16.5","21.5","13.8","3.6","26.4","4.7","BYE","10.5","5.9","16.7","15.9","9.4","4.7","10.1","","","12.1","169.8"
"69","TreVeyon Henderson","RB","NE","15","11.1","6","7.7","12.6","4.7","4.6","0.5","5.5","12.7","28","32.3","11.1","11.6","BYE","30.1","2.2","","","12","180.7"
"70","Travis Kelce","TE","KC","15","12.7","10.1","6.6","9.8","19.1","13.8","8.4","21.9","12.6","BYE","24.1","8.4","15.5","1.8","14","1.6","","","12","180.4"
"71","Michael Wilson","WR","ARI","15","1.5","8.1","1.5","4.5","3.6","8.4","7","BYE","9.1","7.4","33.5","21.8","6.6","37.2","16.4","13.2","","","12","179.8"
"96","Quentin Johnston","WR","LAC","13","24.9","15.9","14.9","23.8","6.9","-","11","0","15.3","9.2","0","BYE","11.3","2.8","-","20.4","","","12","156.4"
"72","Jake Ferguson","TE","DAL","15","7.3","16.8","21.2","17","23.9","12.3","21.9","0","8","BYE","11.6","11.1","8.6","10.8","3.6","4.9","","","11.9","179"
"101","Alec Pierce","WR","IND","13","4.6","10.8","10.7","-","-","6.8","14.8","8.9","17.5","18.4","BYE","3.6","17.8","13","2.6","24.6","","","11.9","154.1"
"179","Sam LaPorta","TE","DET","9","13.9","5.6","7.3","6.9","20.2","16.5","4.5","BYE","21.7","10.3","-","-","-","-","-","-","","","11.9","106.9"
"73","Ladd McConkey","WR","LAC","15","13.4","9.8","8.1","2.1","14.9","23","15.7","20.8","9.6","20.7","4.3","BYE","13.9","2.2","4","14.3","","","11.8","176.8"
"102","Jauan Jennings","WR","SF","13","3.6","19.9","-","6.4","-","1.7","7.1","8.5","14.1","17.1","9.4","15.1","13.9","BYE","18.7","18.1","","","11.8","153.6"
"75","Justin Jefferson","WR","MIN","15","14.8","11.1","12.5","22.6","19.3","BYE","12.9","14.4","16.7","7.7","11.1","8.8","2.4","3.1","4.2","14.5","","","11.7","176.1"
"77","Harold Fannin Jr.","TE","CLE","15","13.6","9.8","5.5","4.5","11.3","15.1","7.6","18.4","BYE","8.4","4.6","8.4","11.3","25.4","12","19.5","","","11.7","175.4"
"207","Terry McLaurin","WR","WAS","8","4.7","9.8","10.4","-","-","-","-","14.4","-","-","-","BYE","22.6","7.1","15.9","8.3","","","11.7","93.2"
"129","Marvin Harrison Jr.","WR","ARI","11","18.1","4.7","7.4","18.6","13.8","5.2","7.8","BYE","22.6","14.3","-","-","12.9","-","-","2.4","","","11.6","127.8"
"162","J.K. Dobbins","RB","DEN","10","14.8","15.5","15.3","11.5","15.4","4","9","14.1","6.9","9.4","-","BYE","-","-","-","-","","","11.6","115.9"
"183","Spencer Rattler","QB","NO","9","11.5","21.7","12.7","13.9","16.1","11.1","13.5","3.6","-","-","BYE","-","-","-","0","-","","","11.6","104.1"
"80","Tyler Warren","TE","IND","15","14.9","11.9","6.8","18.3","14.4","18.3","16.9","9.3","7.6","17.9","BYE","9.5","11.2","3.7","4.9","6","","","11.4","171.6"
"81","Troy Franklin","WR","DEN","15","8.4","24","2.8","9.5","8.5","3.1","12.9","26.9","8.3","15","12.4","BYE","4.1","4.1","20.8","10.6","","","11.4","171.4"
"303","Spencer Shrader","K","IND","5","16","18","11","10","2","-","-","-","-","-","BYE","-","-","-","-","-","","","11.4","57"
"83","Keenan Allen","WR","LAC","15","19.8","17.1","19.5","8.7","10.8","6.7","28.9","8.4","6.1","3.9","9.3","BYE","7","5.2","8.6","9.4","","","11.3","169.4"
"92","Jakobi Meyers","WR","JAC","14","17.7","12.8","9.3","7","7.2","7.9","-","BYE","6.3","7.1","11.4","15","21.3","14.8","12.1","8.6","","","11.3","158.5"
"304","Jake Browning","QB","CIN","5","-","20.7","7.9","5.4","22.1","-","-","-","-","BYE","-","0.6","-","-","-","-","","","11.3","56.7"
"84","Cam Ward","QB","TEN","15","2.5","9.8","13","5.5","9","7.9","11.2","13.8","6.4","BYE","13.1","23.9","6.3","12.1","15","18","","","11.2","167.4"
"216","Kirk Cousins","QB","ATL","8","-","-","1.2","-","BYE","-","-","7.1","-","-","2.1","15.5","13.4","4.5","26.9","18.6","","","11.2","89.2"
"272","Mike Evans","WR","TB","6","10.1","10.6","13.3","-","-","-","0","-","BYE","-","-","-","-","-","19.2","14.1","","","11.2","67.3"
"85","Kenneth Walker III","RB","SEA","15","5.4","18.8","18","12","9.6","4.7","6.6","BYE","8.1","8","20.1","13.1","10.4","3.8","2.9","25.4","","","11.1","166.9"
"86","DJ Moore","WR","CHI","15","8.6","9.6","12.8","7.8","BYE","8.2","8.2","11.6","23","0","3.1","23.4","4.7","0.6","22.9","21.9","","","11.1","166.4"
"87","Brandon Aubrey","K","DAL","15","11","22","8","8","7","9","17","6","5","BYE","9","7","12","23","16.6","5","","","11","165.6"
"88","Tony Pollard","RB","TEN","15","7.9","9.2","13.9","10.6","14.8","6.7","12.1","6.3","7.8","BYE","5.6","8.1","5.3","28.1","18.2","10.2","","","11","164.8"
"123","Marcus Mariota","QB","WAS","12","0","-","20.3","17.2","-","-","4.9","13.3","0","18.7","16.4","BYE","24.3","-1.1","14.7","3.7","","","11","132.5"
"224","Darren Waller","TE","MIA","8","-","-","-","17.7","18.8","9.2","0","-","-","-","-","BYE","6.7","2.7","25.6","7","","","11","87.7"
"89","Cameron Dicker","K","LAC","15","9","8","12","5","6","17","7","15","11","14","8","BYE","9","20","12","10","","","10.9","163"
"90","Dalton Schultz","TE","HOU","15","5.8","5.9","8.9","8","11","BYE","18.8","4.4","13.7","18.3","11.1","1.8","12.5","5.2","21.6","14.5","","","10.8","161.5"
"126","Eddy Pineiro","K","SF","12","-","10","12","7","17","18","11","1","12","2","14","-","-","BYE","14","12","","","10.8","130"
"151","Dalton Kincaid","TE","BUF","11","14.8","7.7","17.6","9.8","16.8","-","BYE","3.3","22.1","5.7","-","-","-","14.1","6.4","0","","","10.8","118.3"
"283","Tyrod Taylor","QB","NYJ","6","-","8.3","17.7","-","-","-","4.1","-","BYE","-","-","13.8","21.3","-0.8","-","-","","","10.7","64.5"
"91","Juwan Johnson","TE","NO","15","15.6","15.9","11.1","5.8","3.7","1.5","12.9","10.3","12.1","19.2","BYE","10.6","8.9","7.8","7","16.9","","","10.6","159.3"
"94","Seattle Seahawks","DST","SEA","15","8","14","16","11","-3","11","9","BYE","9","21","2","4","30","19","4","2","","","10.5","157"
"95","Khalil Shakir","WR","BUF","15","12.4","2.2","14.5","17.9","11","6.3","BYE","20.8","11.3","12.8","0.7","17","1.5","9.6","11.5","7.4","","","10.5","156.9"
"97","Romeo Doubs","WR","GB","15","8.8","11.8","4.5","29.8","BYE","10.5","13.2","9.4","16.1","1.5","9.3","4.3","12","0","5.6","19.4","","","10.4","156.2"
"108","Parker Washington","WR","JAC","14","0","12.6","7.4","5.9","9.6","4.9","10.2","BYE","17","17.9","4","18.1","3.6","-","8.3","26.5","","","10.4","146"
"99","David Montgomery","RB","DET","15","8.3","13.1","29.4","1.2","18.2","8.1","5.9","BYE","11","10.1","4.7","6.7","12.8","14.3","9.2","1.4","","","10.3","154.4"
"100","Hunter Henry","TE","NE","15","10.6","1.9","29","11.9","6.6","5.7","7.3","7.7","9.1","1.9","8.5","24.5","11.3","BYE","2.8","15.5","","","10.3","154.3"
"141","Brian Thomas Jr.","WR","JAC","12","9","8.9","7.5","10.6","12","23","6.1","BYE","8.5","-","-","-","4.8","11.7","17.1","3.8","","","10.3","123"
"350","Charlie Smyth","K","NO","4","-","-","-","-","-","-","-","-","-","-","BYE","-","5","6","10","20","","","10.3","41"
"144","Jordan Addison","WR","MIN","12","-","-","-","15.4","15.1","BYE","21.8","11.6","8.4","6.5","10","0","8.6","10.2","8.6","4.6","","","10.1","120.8"
"106","Tre Tucker","WR","LV","15","13.4","4.9","40.9","4.2","11.1","12","8.3","BYE","6.8","5.5","14.7","5.8","5","4.4","0","9.4","","","9.8","146.4"
"113","Zach Charbonnet","RB","SEA","14","10.7","1","-","12.4","11.8","4.7","19.5","BYE","5.6","14.3","6.7","9.5","11.2","8.6","3.1","17.4","","","9.8","136.5"
"115","Woody Marks","RB","HOU","14","0.3","6.1","4.6","27.9","2.4","BYE","12.5","15.1","2.7","16.1","6.1","7.9","7.7","15.6","10.8","-","","","9.7","135.8"
"133","Zach Ertz","TE","WAS","13","11.6","18.4","6.8","6.1","0","16.3","12.7","5.6","8.6","9.4","8.2","BYE","20.6","2.1","-","-","","","9.7","126.4"
"134","Tyrone Tracy Jr.","RB","NYG","13","5.5","9.1","5.6","-","-","0.6","10.6","7.3","6.7","8.1","17.9","16","4.3","BYE","24.7","9.8","","","9.7","126.2"
"160","Rhamondre Stevenson","RB","NE","12","4.7","21.2","4.6","5.1","14.7","1.8","16.8","5.9","-","-","-","2","11","BYE","10.7","17.8","","","9.7","116.3"
"162","Kimani Vidal","RB","LAC","12","-","-","-","0","2.9","22.8","7.5","19.7","3","17.8","3.2","BYE","20.7","11.4","5.8","1.1","","","9.7","115.9"
"102","Rashid Shaheed","WR","SEA","16","9.3","15.2","8.2","9.2","21.4","6.8","8","14.5","11.8","3.3","4.9","0.5","2.6","16.7","12.1","9.1","","","9.6","153.6"
"109","Houston Texans","DST","HOU","15","6","7","5","14","11","BYE","18","5","8","14","9","15","2","12","7","11","","","9.6","144"
"273","Zane Gonzalez","K","ATL","7","-","-","-","-","BYE","-","-","-","-","6","12","15","8","10","6","10","","","9.6","67"
"136","Cairo Santos","K","CHI","13","7","3","7","19","BYE","-","-","11","11","6","16","8","6","8","8","14","","","9.5","124"
"188","Aaron Jones Sr.","RB","MIN","11","15.7","2.3","-","-","-","BYE","-","5","11.8","15.9","11.1","8.7","4.5","7.6","9.5","11.3","","","9.4","103.4"
"112","Chase McLaughlin","K","TB","15","6","2","21","16","12","7","5","17","BYE","5","8","1","10","9","11","10","","","9.3","140"
"145","Kayshon Boutte","WR","NE","13","16.3","8.6","4.8","2.8","7.3","26.3","13.5","16.5","0","-","-","3.5","13.5","BYE","4","2.6","","","9.2","119.7"
"193","Tyjae Spears","RB","TEN","11","-","-","-","-","1.4","9","7","17.2","9.2","BYE","8.4","6.5","8.4","6.7","5.6","21.5","","","9.2","100.9"
